strategy,symbol,ts,realized_R,entries_filled,atr_pct,F5b,F5,F3,abtr,trend_strong,riskoff_z,btc_up,btc_ema55_up,btc_r3_panel,breadth_panel,btc_r3_native,breadth_native,btc_z_native
reversal,DEMO13USDT,2025-12-17T04:00:00+00:00,-0.7837,1,0.02524,0.0,0.0,0.0,2.017888,1.0,-0.641502,0.0,0.0,-0.033741,0.0,-0.033741,0.0,-0.9872
reversal,DEMO20USDT,2025-12-17T04:00:00+00:00,1.5325,1,0.01831,0.0,0.0,0.0,2.017888,1.0,-0.641502,0.0,0.0,-0.033741,0.0,-0.033741,0.0,-0.2902
reversal,DEMO11USDT,2025-12-17T04:00:00+00:00,2.1912,1,0.01582,0.0,0.0,0.0,2.017888,1.0,-0.641502,0.0,0.0,-0.033741,0.0,-0.033741,0.0,0.3556
meanrev,DEMO5USDT,2025-12-17T04:00:00+00:00,-0.5178,1,0.04446,0.0,0.0,0.0,2.017888,1.0,-0.641502,0.0,0.0,-0.033741,0.0,-0.033741,0.0,0.2206
reversal,DEMO26USDT,2025-12-17T08:00:00+00:00,1.2619,1,0.01451,0.0,0.0,0.0,1.421987,1.0,-0.343822,0.0,0.0,-0.035416,0.01139,-0.035416,0.01139,-0.2796
reversal,DEMO39USDT,2025-12-17T08:00:00+00:00,-0.7382,1,0.02296,0.0,0.0,0.0,1.421987,1.0,-0.343822,0.0,0.0,-0.035416,0.01139,-0.035416,0.01139,0.1747
reversal,DEMO18USDT,2025-12-17T08:00:00+00:00,0.5393,1,0.0416,0.0,0.0,0.0,1.421987,1.0,-0.343822,0.0,0.0,-0.035416,0.01139,-0.035416,0.01139,0.7739
reversal,DEMO20USDT,2025-12-17T08:00:00+00:00,-0.9121,1,0.04745,0.0,0.0,0.0,1.421987,1.0,-0.343822,0.0,0.0,-0.035416,0.01139,-0.035416,0.01139,-0.1072
meanrev,DEMO33USDT,2025-12-17T08:00:00+00:00,-0.0739,1,0.01572,0.0,0.0,0.0,1.421987,1.0,-0.343822,0.0,0.0,-0.035416,0.01139,-0.035416,0.01139,-1.3969
meanrev,DEMO30USDT,2025-12-17T08:00:00+00:00,1.4616,1,0.02434,0.0,0.0,0.0,1.421987,1.0,-0.343822,0.0,0.0,-0.035416,0.01139,-0.035416,0.01139,1.4308
meanrev,DEMO22USDT,2025-12-17T08:00:00+00:00,-1.3815,1,0.01429,0.0,0.0,0.0,1.421987,1.0,-0.343822,0.0,0.0,-0.035416,0.01139,-0.035416,0.01139,0.4343
breakout,DEMO1USDT,2025-12-17T08:00:00+00:00,-0.8275,1,0.0431,0.0,0.0,0.0,1.421987,1.0,-0.343822,0.0,0.0,-0.035416,0.01139,-0.035416,0.01139,-0.2569
breakout,DEMO25USDT,2025-12-17T08:00:00+00:00,-0.3692,1,0.01404,0.0,0.0,0.0,1.421987,1.0,-0.343822,0.0,0.0,-0.035416,0.01139,-0.035416,0.01139,0.1369
breakout,DEMO2USDT,2025-12-17T12:00:00+00:00,-0.9026,1,0.01062,0.0,0.0,0.0,1.499905,1.0,-0.901185,0.0,0.0,-0.026525,0.013667,-0.026525,0.013667,-0.605
reversal,DEMO35USDT,2025-12-17T16:00:00+00:00,0.2566,1,0.03551,1.0,1.0,1.0,1.368862,1.0,0.146053,0.0,0.0,-0.020158,0.031891,-0.020158,0.031891,-2.1801
meanrev,DEMO11USDT,2025-12-17T16:00:00+00:00,0.2089,1,0.00781,1.0,1.0,1.0,1.368862,1.0,0.146053,0.0,0.0,-0.020158,0.031891,-0.020158,0.031891,0.9155
meanrev,DEMO28USDT,2025-12-17T16:00:00+00:00,0.4715,1,0.04118,1.0,1.0,1.0,1.368862,1.0,0.146053,0.0,0.0,-0.020158,0.031891,-0.020158,0.031891,-0.686
breakout,DEMO12USDT,2025-12-17T16:00:00+00:00,0.0178,1,0.0158,1.0,1.0,1.0,1.368862,1.0,0.146053,0.0,0.0,-0.020158,0.031891,-0.020158,0.031891,0.178
breakout,DEMO10USDT,2025-12-17T20:00:00+00:00,-0.913,1,0.02501,1.0,1.0,1.0,0.095102,0.0,2.247028,0.0,0.0,-0.029526,0.329545,-0.029526,0.329545,0.7831
meanrev,DEMO15USDT,2025-12-18T00:00:00+00:00,-0.9429,1,0.01829,1.0,1.0,1.0,0.338988,0.0,0.661846,0.0,0.0,-0.021757,0.227273,-0.021757,0.227273,-1.0047
reversal,DEMO31USDT,2025-12-18T04:00:00+00:00,-0.6763,1,0.02048,1.0,1.0,1.0,0.034936,0.0,-0.027342,0.0,0.0,-0.029861,0.247727,-0.029861,0.247727,-0.5572
reversal,DEMO7USDT,2025-12-18T04:00:00+00:00,-0.0603,1,0.01854,1.0,1.0,1.0,0.034936,0.0,-0.027342,0.0,0.0,-0.029861,0.247727,-0.029861,0.247727,-1.1497
reversal,DEMO9USDT,2025-12-18T08:00:00+00:00,-0.5299,1,0.02132,1.0,1.0,1.0,0.100355,0.0,0.001885,0.0,0.0,-0.032502,0.156818,-0.032502,0.156818,-0.3552
reversal,DEMO9USDT,2025-12-18T08:00:00+00:00,-0.7509,1,0.04941,1.0,1.0,1.0,0.100355,0.0,0.001885,0.0,0.0,-0.032502,0.156818,-0.032502,0.156818,-0.0605
reversal,DEMO29USDT,2025-12-18T12:00:00+00:00,-0.4557,1,0.02964,0.0,1.0,0.0,0.56911,0.0,-1.26917,0.0,0.0,-0.026091,0.022727,-0.026091,0.022727,0.1796
breakout,DEMO20USDT,2025-12-18T12:00:00+00:00,-2.4677,1,0.04134,0.0,1.0,0.0,0.56911,0.0,-1.26917,0.0,0.0,-0.026091,0.022727,-0.026091,0.022727,0.2638
breakout,DEMO27USDT,2025-12-18T12:00:00+00:00,1.1875,1,0.02744,0.0,1.0,0.0,0.56911,0.0,-1.26917,0.0,0.0,-0.026091,0.022727,-0.026091,0.022727,-0.613
reversal,DEMO38USDT,2025-12-18T16:00:00+00:00,0.8679,1,0.03745,0.0,0.0,0.0,1.379154,1.0,-1.353969,1.0,1.0,0.01706,0.011364,0.01706,0.011364,-0.3721
reversal,DEMO18USDT,2025-12-18T16:00:00+00:00,-0.1473,1,0.005,0.0,0.0,0.0,1.379154,1.0,-1.353969,1.0,1.0,0.01706,0.011364,0.01706,0.011364,-0.3608
reversal,DEMO35USDT,2025-12-18T16:00:00+00:00,0.844,1,0.0452,0.0,0.0,0.0,1.379154,1.0,-1.353969,1.0,1.0,0.01706,0.011364,0.01706,0.011364,-0.3201
breakout,DEMO1USDT,2025-12-18T16:00:00+00:00,1.07,1,0.01159,0.0,0.0,0.0,1.379154,1.0,-1.353969,1.0,1.0,0.01706,0.011364,0.01706,0.011364,0.1865
breakout,DEMO27USDT,2025-12-18T16:00:00+00:00,0.6618,1,0.00747,0.0,0.0,0.0,1.379154,1.0,-1.353969,1.0,1.0,0.01706,0.011364,0.01706,0.011364,1.1088
breakout,DEMO33USDT,2025-12-18T16:00:00+00:00,0.0093,1,0.02021,0.0,0.0,0.0,1.379154,1.0,-1.353969,1.0,1.0,0.01706,0.011364,0.01706,0.011364,0.4964
breakout,DEMO31USDT,2025-12-18T16:00:00+00:00,-2.0927,1,0.005,0.0,0.0,0.0,1.379154,1.0,-1.353969,1.0,1.0,0.01706,0.011364,0.01706,0.011364,-0.394
breakout,DEMO2USDT,2025-12-18T16:00:00+00:00,1.0819,1,0.03426,0.0,0.0,0.0,1.379154,1.0,-1.353969,1.0,1.0,0.01706,0.011364,0.01706,0.011364,-0.4209
reversal,DEMO23USDT,2025-12-18T20:00:00+00:00,-0.3621,1,0.01518,1.0,1.0,1.0,1.460765,1.0,2.429713,0.0,0.0,-0.019246,0.7,-0.019246,0.7,-1.662
reversal,DEMO11USDT,2025-12-18T20:00:00+00:00,-0.7021,1,0.01429,1.0,1.0,1.0,1.460765,1.0,2.429713,0.0,0.0,-0.019246,0.7,-0.019246,0.7,0.2191
breakout,DEMO14USDT,2025-12-18T20:00:00+00:00,0.767,1,0.02969,1.0,1.0,1.0,1.460765,1.0,2.429713,0.0,0.0,-0.019246,0.7,-0.019246,0.7,-0.0892
reversal,DEMO7USDT,2025-12-19T00:00:00+00:00,-0.6757,1,0.02727,0.0,1.0,1.0,0.924878,0.0,-0.668336,0.0,0.0,-0.010652,0.081818,-0.010652,0.081818,0.6871
